"","Id","States_names","Uppercase_names","Lowercase_names"
"1",1,"Alabama","ALABAMA","alabama"
"2",2,"Alaska","ALASKA","alaska"
"3",3,"Arizona","ARIZONA","arizona"
"4",4,"Arkansas","ARKANSAS","arkansas"
"5",5,"California","CALIFORNIA","california"
"6",6,"Colorado","COLORADO","colorado"
"7",7,"Connecticut","CONNECTICUT","connecticut"
"8",8,"Delaware","DELAWARE","delaware"
"9",9,"Florida","FLORIDA","florida"
"10",10,"Georgia","GEORGIA","georgia"
"11",11,"Hawaii","HAWAII","hawaii"
"12",12,"Idaho","IDAHO","idaho"
"13",13,"Illinois","ILLINOIS","illinois"
"14",14,"Indiana","INDIANA","indiana"
"15",15,"Iowa","IOWA","iowa"
"16",16,"Kansas","KANSAS","kansas"
"17",17,"Kentucky","KENTUCKY","kentucky"
"18",18,"Louisiana","LOUISIANA","louisiana"
"19",19,"Maine","MAINE","maine"
"20",20,"Maryland","MARYLAND","maryland"
"21",21,"Massachusetts","MASSACHUSETTS","massachusetts"
"22",22,"Michigan","MICHIGAN","michigan"
"23",23,"Minnesota","MINNESOTA","minnesota"
"24",24,"Mississippi","MISSISSIPPI","mississippi"
"25",25,"Missouri","MISSOURI","missouri"
"26",26,"Montana","MONTANA","montana"
"27",27,"Nebraska","NEBRASKA","nebraska"
"28",28,"Nevada","NEVADA","nevada"
"29",29,"New Hampshire","NEW HAMPSHIRE","new hampshire"
"30",30,"New Jersey","NEW JERSEY","new jersey"
"31",31,"New Mexico","NEW MEXICO","new mexico"
"32",32,"New York","NEW YORK","new york"
"33",33,"North Carolina","NORTH CAROLINA","north carolina"
"34",34,"North Dakota","NORTH DAKOTA","north dakota"
"35",35,"Ohio","OHIO","ohio"
"36",36,"Oklahoma","OKLAHOMA","oklahoma"
"37",37,"Oregon","OREGON","oregon"
"38",38,"Pennsylvania","PENNSYLVANIA","pennsylvania"
"39",39,"Rhode Island","RHODE ISLAND","rhode island"
"40",40,"South Carolina","SOUTH CAROLINA","south carolina"
"41",41,"South Dakota","SOUTH DAKOTA","south dakota"
"42",42,"Tennessee","TENNESSEE","tennessee"
"43",43,"Texas","TEXAS","texas"
"44",44,"Utah","UTAH","utah"
"45",45,"Vermont","VERMONT","vermont"
"46",46,"Virginia","VIRGINIA","virginia"
"47",47,"Washington","WASHINGTON","washington"
"48",48,"West Virginia","WEST VIRGINIA","west virginia"
"49",49,"Wisconsin","WISCONSIN","wisconsin"
"50",50,"Wyoming","WYOMING","wyoming"
